time,open,high,low,close,tick_volume,spread,real_volume
2024-09-19 13:15:00,1.11732,1.11754,1.11689,1.1173,776,1,0
2024-09-19 13:30:00,1.1172900000000001,1.1175,1.11693,1.11749,840,1,0
2024-09-19 13:45:00,1.11749,1.11755,1.1169,1.11703,903,1,0
2024-09-19 14:00:00,1.11705,1.11761,1.11593,1.11593,1626,1,0
2024-09-19 14:15:00,1.11593,1.11599,1.1152,1.11591,1492,1,0
2024-09-19 14:30:00,1.11592,1.11638,1.11561,1.11564,1271,1,0
2024-09-19 14:45:00,1.11564,1.11584,1.11539,1.1158,1193,1,0
2024-09-19 15:00:00,1.1158,1.11584,1.11526,1.11557,1658,1,0
2024-09-19 15:15:00,1.11558,1.11581,1.1149,1.11521,1501,1,0
2024-09-19 15:30:00,1.11518,1.11518,1.11301,1.11323,2975,1,0
2024-09-19 15:45:00,1.11324,1.11334,1.11257,1.11259,2167,1,0
2024-09-19 16:00:00,1.11258,1.114,1.1125,1.11358,2344,1,0
2024-09-19 16:15:00,1.11357,1.11407,1.11292,1.11306,1919,1,0
2024-09-19 16:30:00,1.11309,1.11337,1.11197,1.112,2285,1,0
2024-09-19 16:45:00,1.11202,1.1123,1.11174,1.11219,2009,1,0
2024-09-19 17:00:00,1.1122,1.11315,1.11166,1.11201,2285,1,0
2024-09-19 17:15:00,1.11202,1.11332,1.11172,1.11276,2007,1,0
2024-09-19 17:30:00,1.11276,1.11315,1.11202,1.11202,1819,1,0
2024-09-19 17:45:00,1.11202,1.11301,1.11178,1.11293,1953,1,0
2024-09-19 18:00:00,1.11294,1.11323,1.11256,1.113,1642,1,0
2024-09-19 18:15:00,1.11299,1.11438,1.11299,1.11438,1294,1,0
2024-09-19 18:30:00,1.11436,1.11462,1.11408,1.11429,1237,1,0
2024-09-19 18:45:00,1.11431,1.11489,1.1143,1.11469,1240,1,0
2024-09-19 19:00:00,1.1147,1.11526,1.11452,1.11497,916,1,0
2024-09-19 19:15:00,1.11498,1.11572,1.11478,1.11544,1005,1,0
2024-09-19 19:30:00,1.11545,1.11567,1.11502,1.1152,994,1,0
2024-09-19 19:45:00,1.11522,1.11584,1.11519,1.1155599999999999,962,1,0
2024-09-19 20:00:00,1.11555,1.11584,1.11525,1.11543,1017,1,0
2024-09-19 20:15:00,1.11544,1.11579,1.11527,1.1154,755,1,0
2024-09-19 20:30:00,1.1154,1.11583,1.11538,1.11573,778,1,0
2024-09-19 20:45:00,1.11574,1.11614,1.11572,1.11606,680,1,0
2024-09-19 21:00:00,1.11608,1.11654,1.11608,1.11641,756,1,0
2024-09-19 21:15:00,1.11642,1.11674,1.11613,1.11673,824,1,0
2024-09-19 21:30:00,1.11672,1.1168,1.11647,1.11648,619,1,0
2024-09-19 21:45:00,1.11645,1.11656,1.1163,1.11655,684,1,0
2024-09-19 22:00:00,1.11655,1.11667,1.11622,1.1163,784,1,0
2024-09-19 22:15:00,1.1163,1.11631,1.11597,1.11601,782,1,0
2024-09-19 22:30:00,1.11601,1.11624,1.11588,1.11597,671,1,0
2024-09-19 22:45:00,1.11598,1.11637,1.11596,1.11621,774,1,0
2024-09-19 23:00:00,1.11619,1.11639,1.11612,1.11638,297,1,0
2024-09-19 23:15:00,1.11638,1.11644,1.11609,1.11615,281,1,0
2024-09-19 23:30:00,1.11614,1.11635,1.11605,1.11633,337,1,0
2024-09-19 23:45:00,1.11632,1.11639,1.11615,1.1162,214,1,0
2024-09-20 00:00:00,1.11616,1.11616,1.116,1.11603,31,16,0
2024-09-20 00:15:00,1.11606,1.1161699999999999,1.11595,1.1161,61,8,0
2024-09-20 00:30:00,1.1161,1.11622,1.1160700000000001,1.11614,48,7,0
2024-09-20 00:45:00,1.11614,1.11618,1.11611,1.11616,29,8,0
2024-09-20 01:00:00,1.1162,1.11624,1.11612,1.11619,123,1,0
2024-09-20 01:15:00,1.11618,1.11624,1.11606,1.11616,185,1,0
2024-09-20 01:30:00,1.11616,1.11622,1.11606,1.1161,146,1,0
2024-09-20 01:45:00,1.1161,1.11618,1.11603,1.1160700000000001,94,1,0
2024-09-20 02:00:00,1.11608,1.11609,1.11583,1.11586,250,1,0
2024-09-20 02:15:00,1.11586,1.116,1.11585,1.1159,122,1,0
